Des Moines,"210,330"
Cedar Rapids,"130,405"
Davenport,"102,582"
Sioux City,"82,821"
Iowa City,"74,220"
Waterloo,"68,460"
Ames,"65,060"
West Des Moines,"64,113"
Council Bluffs,"62,597"
Dubuque,"58,799"
Ankeny,"56,764"
Urbandale,"44,062"
Cedar Falls,"41,255"
Marion,"37,330"
Bettendorf,"35,505"
Marshalltown,"27,620"
Mason City,"27,366"
Clinton,"26,064"
Burlington,"25,410"
Fort Dodge,"24,649"
Ottumwa,"24,624"
Muscatine,"23,968"
Johnston,"20,871"
Coralville,"20,608"
Waukee,"18,990"
Clive,"17,419"
Altoona,"16,984"
North Liberty,"15,931"
Indianola,"15,467"
Newton,"15,125"
Boone,"12,692"
Oskaloosa,"11,607"
Spencer,"11,212"
Storm Lake,"10,910"
Fort Madison,"10,717"
Grimes,"10,676"
Keokuk,"10,609"
Pella,"10,363"
Norwalk,"10,135"
Waverly,"10,066"
Carroll,"9,968"
Fairfield,"9,892"
Le Mars,"9,761"
Pleasant Hill,"9,314"
Grinnell,"9,141"
Mount Pleasant,"8,433"
Denison,"8,334"
Perry,"8,089"
Decorah,"7,907"
Creston,"7,854"
Webster City,"7,814"
Clear Lake,"7,590"
Sioux Center,"7,461"
Charles City,"7,455"
Washington,"7,408"
Knoxville,"7,248"
Hiawatha,"7,199"
Atlantic,"6,833"
Nevada,"6,831"
Eldridge,"6,232"
Orange City,"6,198"
Oelwein,"6,153"
Independence,"6,028"
Estherville,"6,011"
Maquoketa,"5,989"
Red Oak,"5,472"
Algona,"5,470"
Anamosa,"5,469"
Clarinda,"5,418"
Centerville,"5,372"
Asbury,"5,291"
Glenwood,"5,253"
De Witt,"5,242"
Iowa Falls,"5,195"
Winterset,"5,176"
Vinton,"5,148"
Sheldon,"5,088"
Manchester,"5,073"
Cherokee,"5,030"
Shenandoah,"5,021"
Spirit Lake,"5,018"
Harlan,"5,002"
Bondurant,"4,996"
Osceola,"4,972"
Windsor Heights,"4,889"
Evansdale,"4,812"
Humboldt,"4,596"
Sergeant Bluff,"4,520"
Mount Vernon,"4,486"
Camanche,"4,341"
Polk City,"4,323"
Hampton,"4,290"
Adel,"4,245"
Chariton,"4,214"
Dyersville and Jefferson,"4,204"
Carlisle,"4,168"
Forest City,"4,018"
Le Claire,"3,982"
Cresco,"3,833"
Albia,"3,829"
Monticello,"3,825"
Emmetsburg,"3,811"
Carter Lake,"3,791"
Waukon,"3,736"
West Liberty,"3,728"
Rock Valley,"3,693"
Osage,"3,654"
Huxley,"3,536"
Robins,"3,454"
New Hampton,"3,452"
Story City,"3,438"
Eagle Grove,"3,419"
Tipton,"3,200"
Williamsburg,"3,195"
Garner,"3,107"
West Burlington,"3,047"
