,company,location,location_code,salary,summary,title,target,senior
0,Oliver James Associates,"New York, NY",0.0,90000.0,Identifies and develops data sources to solve business problems. Develops and builds alignment within Product Operations for frameworks/prototypes that...,Data Scientist,0,0
22,Venturi Ltd,"New York, NY",0.0,200000.0,"Data Scientist, FinTech, Python, R, Machine Learning, Big Data Engineer, Hadoop, Cloudera, SQL, NoSQL, Hortonworks, Java, Data Science, Analyst, Analytics, PhD,...",Data Scientist ( FinTech / Python / R / Machine Learning / B...,1,0
36,Selby Jennings,"New York, NY 10167 (Midtown area)",0.0,150000.0,Mentored junior data scientists. Data Scientist | Leading E-commerce Platform. If you are highly collaborative data scientist looking to join a company that is...,Data Scientist,1,0
53,Selby Jennings,"New York, NY 10167 (Midtown area)",0.0,160000.0,"Data Scientist | New York, NY. A pioneering Investment research group that is transforming investment intelligence is seeking passionate data scientists....",Data Scientist | Investment Research,1,0
65,Beeswax,"New York, NY",0.0,130000.0,"A minimum of 5 years experience in Machine learning, large-scale data mining, or applied data science. We’re seeking a senior data scientist in New York City to...",Director / VP Data Science,1,1
77,SysemGuru Inc,"New York, NY",0.0,180000.0,Hands on responsibility as part of the team engaged in data analytics and solving critical business problems using data....,Data Scientist with minimum 10 + years experince,1,0
81,Smith Hanley Associates,"New York, NY",0.0,90000.0,Seeking a Data Scientist who will contribute in many general areas. Additional responsibilities will include data and text mining using large and complex data...,Data Scientist,0,0
94,Harnham,"New York, NY",0.0,180000.0,"VP, Data Scientist - Banking. Data Scientist | Predictive Models | Machine Learning | Banking. Expertise in utilizing relational databases for data storage and...","VP, Data Scientist - Banking",1,0
95,Big Cloud,"New York, NY",0.0,120000.0,This is an opportunity to work in a top tier Retail Bank on complex analytics problems with a team of great Data Scientists....,Data Analyst - SAS - Retail Banking,1,0
10,TechHunters,"Los Angeles, CA",1.0,140000.0,Strong data science background. Fast growing startup is looking for a Senior Data Scientist to spearhead their initiatives to continue advancements in their...,Senior Data Scientist Machine Learning,1,1
21,Selby Jennings,"Los Angeles, CA",1.0,120000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,Quantitative Analyst - Multiple Vacancies,1,0
70,MACP Los Angeles,"Los Angeles, CA",1.0,185000.0,Looking for a data scientist:. Looking for a Data Scientist or Applied Researcher with experience applying state of the art machine learning algorithms to...,Data Scientist,1,0
13,Smith Hanley Associates,"Chicago, IL",2.0,90000.0,Well known analytical consulting company is seeking a Data Scientist to develop processes to extract and utilize data to improve company's ability to deliver...,Data Scientist,0,0
17,Workbridge Associates,"Chicago, IL",2.0,125000.0,A fast growing data analytics consulting shop is looking expand the development team by adding a Scientist in their Chicago office....,Data Scientist,1,0
24,Workbridge Associates,"Chicago, IL 60603 (Loop area)",2.0,100000.0,Light experience with Big Data Tools Spark and/or Hadoop. At this growing Healthcare Analytics Company located in the Loop downtown you will be building out...,Junior Data Scientist / Data Engineer,0,0
55,Workbridge Associates,"Chicago, IL",2.0,130000.0,"Hadoop, Hive, Spark for big data. A fast growing subsidiary of a major company is looking to grow out a brand new analytics department in their Chicago office...",Senior Data Scientist,1,1
61,Hirewell,"Chicago, IL",2.0,120000.0,Bring structure to large quantities of data - turn unstructured data into structured data. Data Extraction Tools:....,Data Scientist -Fitness/Wellness Firm,1,0
90,Jobspring Partners,"Chicago, IL 60603 (Loop area)",2.0,130000.0,"A Data company located right downtown Chicago in the Willis Tower is looking for passionate, bright eyed engineers to join their new IoT data analytics team....",C# Data Scientist,1,0
96,Jobspring Partners,"Chicago, IL 60603 (Loop area)",2.0,140000.0,Knowledge of data visualization. Full stack data scientists looking to grow with a brand new team in a well-developed company keep reading....,Full-stack Data Scientist,1,0
97,Jobspring Partners,"Chicago, IL 60603 (Loop area)",2.0,130000.0,"The ideal person needs to be a personable and diverse data scientist ideal knowledgeable of Big Data, Data Analytics, and Data Engineering....",Data Scientist,1,0
23,Digital People,"Houston, TX",3.0,100000.0,We have a great company seeking a Data Scientist. Are you passionate about data? You need 3+ years of experience working in a data driven environment where you...,Data Scientist,0,0
47,Murray Resources,"Houston, TX 77024 (Greater Memorial area)",3.0,80000.0,Management of data and analyzes of various operational parameters. As such you are in direct contact with our clients and R&D scientist....,MSAT Scientist,0,0
49,Rekruiters,"Houston, TX 77006 (Montrose area)",3.0,250000.0,Analyzing system performance/trading data; Building applicationsthat parse and stream data; Working with our research scientists to deliver their algorithms and...,C++ Software Engineer,1,0
56,Baylor College of Medicine,"Houston, TX",3.0,70000.0,"Production Integration with Data Warehouse, DNAnexus. This senior-level position requires a high-performing programmer and scientist with demonstrated...",Sr. Bioinformatics Programmer,0,1
74,"Horn Solutions, Inc.","Houston, TX",3.0,105000.0,"Strong understanding of algorithms and advanced data structures. Manipulate, aggregate and derive useful information from data stored across many sources and...","Sr Data Scientist (Hadoop) - Duluth, Georgia",0,1
12,All-In Analytics,"Philadelphia, PA",4.0,100000.0,"Auto Risk Data Scientist. Cutting edge quantitative solutions, solving business problems, developing quantitative/statistical models, champion challenger models...",Auto Risk Data Scientist,0,0
26,Workbridge Associates,"Philadelphia, PA 19103 (Belmont area)",4.0,150000.0,The flagship company of a multi-faceted media and entertainment company in Center City is looking to bring on a new Data Scientist as they continue to grow even...,Senior Data Scientist,1,1
66,Smith Hanley Associates,"Philadelphia, PA",4.0,60000.0,Data Analyst-Statistician- PHARMA. Perform ad-hoc analysis and data mining to identify potential business opportunities....,Sr. Data Analyst-Statistician-PHARMA,0,1
90,Workbridge Associates,"King of Prussia, PA 19406",4.0,105000.0,A successful startup in King of Prussia is hiring for a lightly experienced Data Scientist to help build platforms geared towards clinical healthcare to help...,Data Scientist - Python and Data Visualization,0,0
95,Workbridge Associates,"Philadelphia, PA 19106 (City Center East area)",4.0,150000.0,"An international publishing company located in Philadelphia is seeking a Data Scientist. This company is a data-driven, global company that needs a strong Data...",Team Lead - Data Science,1,1
98,Workbridge Associates,"Malvern, PA 19355",4.0,100000.0,Thorough understanding of real-time data systems and metrics. With large data sets coming in that you’ll get your hands on shortly after your start with the...,"Data Scientist - Finanace, R, Hadoop",0,0
8,Career Evolutions,"Phoenix, AZ",5.0,150000.0,"Good understanding of data governance and data security challenges; As member of the CIO Office, you will ensure that the Corporate Data Platform fulfills the...",Data Architect,1,0
21,"City of Goodyear, AZ","Goodyear, AZ",5.0,63696.0,"Prepare assigned portions of financial and budget reports, including data, analysis, text, draft presentation, and document review....",Budget & Research Analyst,0,0
2,Freemind Solutions,"San Antonio, TX",6.0,100000.0,We are looking for Data Scientist to contract hire position with our client. .• Experience developing software in collaboration with others and maintaining a...,Data Scientist,0,0
17,The Exchange (AAFES),"Dallas, TX 75236 (Southwest Dallas area)",8.0,85000.0,"We are looking for someone who can mine big data, understand complicated systems, and translate into streamlined processes--a hands-on person capable of getting...",SR Data Scientist / Customer Analytic Manager,0,1
21,U.S. Department of Labor,"Dallas, TX",8.0,91447.0,Ensures the quality of the data collected by all staff through a comprehensive data quality program. Explaining survey findings and data uses....,Supervisory Economist/Supervisory Statistician,0,0
49,Sagecrest Hospital,"Grapevine, TX",8.0,65000.0,"Reviews drug confirmation data from the laboratory, compares with the initial screening data for accuracy and release the results....",Certifying Scientist Toxicologist,0,0
60,Nityo Infotech Services Pvt. Ltd.,"Dallas, TX",8.0,100000.0,"Position Title : Java Machine learning Location : Plano, TX Job Type : Full time Job Description:  Java/J2EE & UI technologies, NLP, Machine","Java Machine learning @ Dallas, TX // FULL TIME",0,0
72,Selby Jennings,"Dallas, TX",8.0,150000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,Quantitative Analyst - Multiple Vacancies,1,0
89,Lighthouse Recruiting,"Plano, TX",8.0,80000.0,"Join our Medical Laboratory Scientists Groups:. As a genetic counselor, you would have the opportunity to review patient genomic testing data interpret...","Genetic Counselor, Clinical Genomics",0,0
1,TERADEEP INC.,"Campbell, CA",9.0,120000.0,Large Scale Data Extraction and Preparation. Develops Deep Learning HW & SW Acceleration solutions for datacenter applications....,STAFF DATA SCIENTIST / DEEP LEARNING,1,0
7,Gibson - An Education Consulting & Research Group,"Austin, TX 78746",10.0,110000.0,"Provide statistical consulting to clients regarding the appropriate use of existing data. Gibson Consulting Group, Inc....",Senior Research Scientist (PI Level),0,1
14,"Far Harbor, LLC","Austin, TX",10.0,88000.0,"Experience analyzing complex survey data (clustered sampling, oversampling). The Research Statistician will also perform data prep and analysis for state...",Public Health Research Statistician,0,0
20,Alamo Drafthouse Cinemas,"Austin, TX",10.0,90000.0,"You are an analytical data nerd. This is a technical position – you are more data scientist than marketing strategist, but you need to be well versed in current...",Growth Hacker for Alamo Drafthouse,0,0
74,Oscar Technology,"Austin, TX",10.0,120000.0,The MEAN Stack JavaScript Developer will be working alongside Data Scientists responsible for creating web and mobile products for the Medical / Pharmaceutical...,JavaScript Developer,1,0
3,Oscar Technology,"Jacksonville, FL",11.0,110000.0,The Data Scientist will be partnering with clients to aid them in using their marketing and customer data to gain deep insights....,Jr Data Scientist - Healthcare/Insurance,0,0
